2001:db8::1            → 20010db8000000000000000000000001  (انتظار: 20010db8000000000000000000000001)
::ffff:1.2.3.4         → 00000000000000000000ffff01020304  (انتظار: 0000...ffff01020304 (mapped))
0:0:0:0:0:0:0:1        → 00000000000000000000000000000001  (انتظار: 1 = ::1)
::1                    → 00000000000000000000000000000001  (انتظار: 1)
fe80::1%eth0           → null  (انتظار: null (zone رد))
[::1]                  → null  (انتظار: null (براکت رد))
::                     → 00000000000000000000000000000000  (انتظار: 0 (نامشخص — بالادست رد می‌کند))
1:2:3:4:5:6:7:8:9      → null  (انتظار: null (9 گروه))
1::2::3                → null  (انتظار: null (دو ::))
12345::                → null  (انتظار: null (گروه 5 رقمی))
::ffff:01.2.3.4        → 00000000000000000000ffff01020304  (انتظار: null (صفر پیشرو در دم v4))
